iter,elapsed_hours,progress_pct,entropy_coef,heuristic_bc_coef,best_days_mean,succ,day_ge5,day_ge6,days_mean,days_p50,days_p90,return_mean,stockout_mean,approx_kl,clip_frac,value_mse,heur_match
1280,0.2601,1.86,0.014467,0.196475,5.1833,0.000000,0.823333,0.426667,5.1833,5.0000,6.0000,-5.2255,23344.9477,0.046178,0.483154,0.019981,0.291504
1300,0.2648,1.89,0.014457,0.196411,5.1100,0.000000,0.786667,0.426667,5.1100,5.0000,6.0000,-5.6697,28763.1238,0.035133,0.428223,0.013748,0.294189
1320,0.2693,1.92,0.014448,0.196349,5.3067,0.000000,0.830000,0.506667,5.3067,6.0000,6.0000,-5.0001,27950.4512,0.047143,0.473389,0.020318,0.291992
1340,0.2739,1.96,0.014439,0.196287,5.1100,0.000000,0.803333,0.403333,5.1100,5.0000,6.0000,-5.5818,26455.3870,0.041075,0.469727,0.008251,0.281006
1360,0.2786,1.99,0.014429,0.196223,5.2333,0.000000,0.836667,0.430000,5.2333,5.0000,6.0000,-5.2007,27714.4633,0.042605,0.507080,0.007345,0.296875
1380,0.2834,2.02,0.014419,0.196158,5.1267,0.000000,0.810000,0.430000,5.1267,5.0000,6.0000,-5.4741,24666.2994,0.046812,0.480469,0.011168,0.291748
1400,0.2884,2.06,0.014410,0.196091,5.1733,0.000000,0.803333,0.413333,5.1733,5.0000,6.0000,-5.2793,24370.4038,0.051246,0.465332,0.006945,0.287354
1420,0.2932,2.09,0.014400,0.196025,5.1133,0.000000,0.783333,0.433333,5.1133,5.0000,6.0000,-5.5091,24732.7359,0.036379,0.444580,0.013463,0.284668
1440,0.2980,2.13,0.014390,0.195960,5.2133,0.000000,0.813333,0.470000,5.2133,5.0000,6.0000,-5.1824,25795.6680,0.047525,0.464844,0.008874,0.287842
1460,0.3029,2.16,0.014380,0.195894,5.0533,0.000000,0.763333,0.413333,5.0533,5.0000,6.0000,-5.7576,25387.2299,0.047782,0.456055,0.003855,0.298584
1480,0.3078,2.20,0.014370,0.195828,5.1333,0.000000,0.776667,0.450000,5.1333,5.0000,6.0000,-5.4593,25591.8564,0.038201,0.429688,0.005675,0.302734
1500,0.3125,2.23,0.014361,0.195764,5.1367,0.000000,0.800000,0.430000,5.1367,5.0000,6.0000,-5.4424,25000.2279,0.032983,0.417725,0.006193,0.312744
1520,0.3172,2.27,0.014351,0.195700,5.1700,0.000000,0.816667,0.440000,5.1700,5.0000,6.0000,-5.4263,27204.7409,0.041312,0.453125,0.008656,0.303711
1540,0.3220,2.30,0.014341,0.195634,5.1733,0.000000,0.816667,0.400000,5.1733,5.0000,6.0000,-5.3576,25620.6596,0.046285,0.456787,0.012745,0.286133
1560,0.3270,2.34,0.014331,0.195566,5.0800,0.000000,0.790000,0.410000,5.0800,5.0000,6.0000,-5.5646,22083.6651,0.040965,0.447754,0.006660,0.299805
1580,0.3319,2.37,0.014321,0.195500,5.2233,0.000000,0.833333,0.446667,5.2233,5.0000,6.0000,-5.2044,26721.7249,0.045259,0.469482,0.009034,0.312256
1600,0.3368,2.41,0.014311,0.195433,5.1800,0.000000,0.823333,0.426667,5.1800,5.0000,6.0000,-5.3609,26939.4636,0.040222,0.479248,0.007546,0.303223
1620,0.3419,2.44,0.014301,0.195364,5.1267,0.000000,0.780000,0.450000,5.1267,5.0000,6.0000,-5.5513,27028.0502,0.029530,0.439453,0.013050,0.289795
1640,0.3469,2.48,0.014291,0.195296,5.1267,0.000000,0.806667,0.416667,5.1267,5.0000,6.0000,-5.5910,27911.4754,0.048901,0.501221,0.008074,0.301758
1660,0.3521,2.51,0.014281,0.195226,5.2167,0.000000,0.810000,0.490000,5.2167,5.0000,6.0000,-5.2309,25463.2031,0.043462,0.456299,0.004696,0.311279
1680,0.3571,2.55,0.014270,0.195158,5.1833,0.000000,0.816667,0.433333,5.1833,5.0000,6.0000,-5.2362,24130.5675,0.042558,0.442383,0.003119,0.320557
1700,0.3621,2.59,0.014260,0.195091,5.1867,0.000000,0.810000,0.443333,5.1867,5.0000,6.0000,-5.3813,28047.7891,0.046147,0.488037,0.010150,0.294678
1720,0.3671,2.62,0.014250,0.195023,5.1800,0.000000,0.806667,0.453333,5.1800,5.0000,6.0000,-5.4162,27620.0666,0.038224,0.462646,0.005438,0.320801
1740,0.3719,2.66,0.014241,0.194957,5.1833,0.000000,0.816667,0.440000,5.1833,5.0000,6.0000,-5.3722,27921.8161,0.047640,0.486816,0.005445,0.302490
1760,0.3769,2.69,0.014230,0.194889,5.1667,0.000000,0.823333,0.436667,5.1667,5.0000,6.0000,-5.4308,27767.4509,0.040029,0.447510,0.010048,0.317139
1780,0.3819,2.73,0.014220,0.194822,5.0733,0.000000,0.783333,0.386667,5.0733,5.0000,6.0000,-5.7695,27909.8602,0.036843,0.438965,0.005037,0.320068
1800,0.3867,2.76,0.014211,0.194757,5.1433,0.000000,0.800000,0.436667,5.1433,5.0000,6.0000,-5.4095,24857.3085,0.039278,0.460693,0.009143,0.302490
1820,0.3915,2.80,0.014201,0.194690,5.1767,0.000000,0.820000,0.410000,5.1767,5.0000,6.0000,-5.3858,27449.0584,0.026273,0.435303,0.008696,0.322754
1840,0.3964,2.83,0.014191,0.194625,5.1533,0.000000,0.810000,0.420000,5.1533,5.0000,6.0000,-5.4413,25778.0437,0.044844,0.454102,0.004898,0.305176
1860,0.4011,2.87,0.014182,0.194560,5.1300,0.000000,0.803333,0.430000,5.1300,5.0000,6.0000,-5.5292,25744.3302,0.040909,0.464600,0.009493,0.319824
1880,0.4062,2.90,0.014172,0.194493,5.0600,0.000000,0.770000,0.440000,5.0600,5.0000,6.0000,-5.6441,23216.9344,0.056446,0.480225,0.017991,0.316162
1900,0.4110,2.94,0.014162,0.194426,5.1433,0.000000,0.803333,0.420000,5.1433,5.0000,6.0000,-5.5656,28987.6657,0.047724,0.493652,0.012812,0.318359
1920,0.4161,2.97,0.014152,0.194358,5.1733,0.000000,0.816667,0.436667,5.1733,5.0000,6.0000,-5.3468,25912.1549,0.033691,0.414063,0.003838,0.315674
1940,0.4209,3.01,0.014142,0.194292,5.1300,0.000000,0.793333,0.430000,5.1300,5.0000,6.0000,-5.5930,28686.1141,0.034183,0.462158,0.005554,0.313965
1960,0.4258,3.04,0.014132,0.194225,5.1367,0.000000,0.793333,0.416667,5.1367,5.0000,6.0000,-5.4474,25658.7060,0.040406,0.501709,0.008648,0.298096
1980,0.4311,3.08,0.014122,0.194155,5.1367,0.000000,0.816667,0.413333,5.1367,5.0000,6.0000,-5.6014,29183.4067,0.065365,0.503662,0.012617,0.316406
2000,0.4363,3.12,0.014111,0.194084,5.1067,0.000000,0.796667,0.416667,5.1067,5.0000,6.0000,-5.7172,29039.7377,0.034526,0.466553,0.006639,0.323975
2020,0.4415,3.15,0.014101,0.194013,5.2367,0.000000,0.846667,0.430000,5.2367,5.0000,6.0000,-5.1396,26238.2103,0.034874,0.450684,0.008075,0.341797
2040,0.4469,3.19,0.014090,0.193940,5.0800,0.000000,0.793333,0.390000,5.0800,5.0000,6.0000,-5.6121,24799.3991,0.036846,0.457031,0.006462,0.321777
2060,0.4521,3.23,0.014079,0.193869,5.1000,0.000000,0.796667,0.410000,5.1000,5.0000,6.0000,-5.7039,28794.0938,0.042797,0.421631,0.010101,0.318115
2080,0.4574,3.27,0.014069,0.193797,5.1567,0.000000,0.806667,0.430000,5.1567,5.0000,6.0000,-5.4922,28407.1374,0.041498,0.466797,0.008406,0.319580
2100,0.4627,3.30,0.014058,0.193725,5.0900,0.000000,0.776667,0.416667,5.0900,5.0000,6.0000,-5.7193,28310.4318,0.034146,0.450928,0.004203,0.322754
2120,0.4679,3.34,0.014048,0.193655,5.1867,0.000000,0.820000,0.433333,5.1867,5.0000,6.0000,-5.3835,27489.3623,0.044304,0.477295,0.008658,0.315186
